person_name_norm,category,film_count,avg_rating
ralf moeller,actor,10,4.37
maclain nelson,actor,7,4.371428571428571
peter wingfield,actor,4,4.375
nels lennarson,actor,4,4.375
brahmachari,actor,4,4.375
mike beckingham,actor,4,4.375
yash tonk,actor,4,4.375
tom shell,actor,4,4.375
swen temmel,actor,12,4.3750000000000009
casper van dien,actor,25,4.3759999999999994
mirco nontschew,actor,5,4.379999999999999
quinton 'rampage' jackson,actor,5,4.38
maurizio mattioli,actor,6,4.3833333333333337
brock o'hurn,actor,4,4.3999999999999995
takashi kanda,actor,4,4.3999999999999995
roy gordon,actor,3,4.3999999999999995
chris cleveland,actor,3,4.3999999999999995
forrest j. ackerman,actor,3,4.3999999999999995
collins pennie,actor,3,4.3999999999999995
damon dayoub,actor,3,4.3999999999999995
kyle paul,actor,3,4.3999999999999995
rodrigo obregón,actor,10,4.3999999999999995
sam derakhshani,actor,5,4.4
raban bieling,actor,7,4.4
michael matic,actor,3,4.4
yehuda efroni,actor,6,4.4
daniel vivian,actor,4,4.4
tim berrington,actor,3,4.4
mark irvingsen,actor,3,4.4
lee valmassy,actor,3,4.4
eric bartsch,actor,3,4.4
john lewis,actor,4,4.4
paul coufos,actor,3,4.4
paul hopkins,actor,3,4.4
sean patrick o'reilly,actor,5,4.4
john d. hickman,actor,7,4.4
blackie dammett,actor,3,4.4
vatsal sheth,actor,3,4.4
giulio donnini,actor,4,4.4
jason trost,actor,3,4.4
ata berk mutlu,actor,3,4.4
logan paul,actor,5,4.4
subbiraj,actor,3,4.4
tony gardner,actor,3,4.4
johann urb,actor,10,4.41
andrew divoff,actor,25,4.4120000000000017
vernon davis,actor,6,4.4166666666666661
finn jones,actor,5,4.42
todd giebenhain,actor,5,4.42
ashok kumar beniwal,actor,5,4.42
claudiu bleont,actor,5,4.42
corey large,actor,15,4.42
bruce penhall,actor,9,4.4222222222222225
martin copping,actor,4,4.425
michael j. shane,actor,4,4.425
martin klebba,actor,8,4.425
adam gregory,actor,4,4.425
alex o'dogherty,actor,4,4.425
paul sloan,actor,8,4.425
jonathan chase,actor,4,4.425
bruno vesota,actor,11,4.4272727272727277
michael worth,actor,3,4.4333333333333327
adrian pintea,actor,3,4.4333333333333327
david dukas,actor,3,4.4333333333333336
vincent castellanos,actor,3,4.4333333333333336
phil neilson,actor,3,4.4333333333333336
william brent,actor,3,4.4333333333333336
kevin otto,actor,3,4.4333333333333336
joe michael burke,actor,3,4.4333333333333336
sebastien roberts,actor,3,4.4333333333333336
tad hilgenbrink,actor,3,4.4333333333333336
paul kwo,actor,3,4.4333333333333336
mark paul wake,actor,3,4.4333333333333336
vincent barbi,actor,3,4.4333333333333336
ben frank,actor,3,4.4333333333333336
graham denman,actor,3,4.4333333333333336
tyler mcvey,actor,3,4.4333333333333336
jose rosete,actor,8,4.4375
don swayze,actor,5,4.44
sohail khan,actor,15,4.44
christian willis,actor,4,4.4499999999999993
russel savadier,actor,4,4.45
krushna abhishek,actor,7,4.4571428571428573
travis van winkle,actor,7,4.4571428571428573
nick gomez,actor,5,4.46
shaquille o'neal,actor,5,4.46
kivanç baran aslan,actor,3,4.4666666666666659
graham patrick martin,actor,3,4.4666666666666659
damon dash,actor,3,4.4666666666666659
john asher,actor,3,4.4666666666666668
jamie mcennan,actor,3,4.4666666666666668
mathis landwehr,actor,3,4.4666666666666668
mark justice,actor,3,4.4666666666666668
leon ockenden,actor,3,4.4666666666666668
yilmaz gruda,actor,3,4.4666666666666668
cody christian,actor,3,4.4666666666666668
jonny cruz,actor,3,4.4666666666666668
gigi velicitat,actor,3,4.4666666666666668
george calil,actor,3,4.4666666666666668
robert ball,actor,3,4.4666666666666668
e.j. de la pena,actor,3,4.4666666666666668
merritt yohnka,actor,3,4.4666666666666668
rio alexander,actor,3,4.4666666666666668
dick biel,actor,3,4.4666666666666668
matthew willig,actor,6,4.4666666666666668
louis james,actor,3,4.4666666666666668
bryan kirkwood,actor,3,4.4666666666666668
punit pathak,actor,3,4.4666666666666668
dan zahle,actor,3,4.4666666666666668
james acheson,actor,3,4.4666666666666668
ian ziering,actor,6,4.4666666666666668
sergiu costache,actor,3,4.4666666666666668
james gaisford,actor,3,4.4666666666666668
ralf beck,actor,3,4.4666666666666668
bonko khoza,actor,3,4.4666666666666668
deron mcbee,actor,3,4.4666666666666668
brad grunberg,actor,3,4.4666666666666668
scott baio,actor,6,4.4666666666666668
joyraj bhattacharya,actor,3,4.4666666666666668
michael rene walton,actor,3,4.4666666666666668
steven seagal,actor,37,4.4702702702702695
trent haaga,actor,4,4.475
